Sample.Name,Notes,,,,Fraction,Sample.Group,Treatment.Group,Bio.Normalization,Blanks
180212_Smp_L1C33DCM_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCM,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCMplus10m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCMplus10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C1DCMless10m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C1DCMless10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Blk_MQBlk_2,,RP_POS Metabolomics,1:06,15,CyanoAq,,1,1,
180212_Smp_L1C32DCMless10m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C32DCMless10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C1DCMless20m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C1DCMless20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCMplus20m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCMplus20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C32DCMless20m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C32DCMless20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCM_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCM,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Blk_SWBlk_2,,RP_POS Metabolomics,1:06,15,CyanoAq,,1,1,
180212_Smp_L2C2DCMplus20m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCMplus20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCMplus10m_B,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCMplus10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Poo_TruePoo_Half3,,RP_POS Metabolomics,1:06,15,CyanoAq,Poo,1,0.5,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C32DCMless10m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C32DCMless10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C1DCMless20m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C1DCMless20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCMplus20m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCMplus20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCM_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCM,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Blk_SWBlk_3,,RP_POS Metabolomics,1:06,15,CyanoAq,,1,1,
180212_Smp_L1C33DCMplus10m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCMplus10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C32DCMless20m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C32DCMless20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C2DCMplus10m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCMplus10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L2C1DCMless10m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C1DCMless10m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Smp_L1C33DCM_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L1C33DCM,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Blk_MQBlk_3,,RP_POS Metabolomics,1:06,15,CyanoAq,,1,1,
180212_Smp_L2C2DCMplus20m_C,,RP_POS Metabolomics,1:06,15,CyanoAq,L2C2DCMplus20m,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
180212_Poo_TruePoo_Full3,,RP_POS Metabolomics,1:06,15,CyanoAq,Poo,1,1,180212_Blk_SWBlk_1;180212_Blk_SWBlk_2;180212_Blk_SWBlk_3
