"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","S.N.average","Spectrum.reference.file.name"
"180920_Smp_MS4C1DCM_B",1470443,810.128,5.494,762.7231,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Smp_MS4C1DCM_B",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_B",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_B",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_C",14011,808.119,5.478,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_C",3273858,810.127,5.485,1825.076,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Smp_MS4C1DCM_C",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_C",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C1DCM_C",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C115m_A",7965,808.119,5.489,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C115m_A",2562946,810.127,5.483,723.5583,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
"180920_Smp_MS4C115m_A",0,822.136,0,0,"3833","Propionyl CoA","[M-H]-","FALSE","9.03","822.13361","Good, not in samples","2857.73","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C115m_A",0,852.11,0,0,"3885","Malonyl CoA","[M-H]-","FALSE","1.27","852.10779","Good, not in samples","5438.51","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C115m_A",0,866.126,0,0,"3903","Methyl Malonyl CoA","[M-H]-","FALSE","5.37","866.12341","Good, not in samples","554.89","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C115m_B",18438,808.119,5.488,NA,"3793","Acetyl CoA","[M-H]-","TRUE","5.5","808.1193","Good","4802.96","180920_Std_4uMStdMix4InH2O_2"
"180920_Smp_MS4C115m_B",2967686,810.127,5.488,1525.601,"3799","Acetyl CoA, 13C2","[M-H]-","TRUE","5.5","810.12518","Good","1570.76","180920_Poo_Day1Poo_DDAneg20"
